trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
425,False,"{'a': 0.002, 'e': 0.4282706172126597}",20,14,13.905859368541012,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.002, 'e': 0.4274149319487267}",25,13,9.597518442503503,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.002, 'e': 0.4265609563450914}",25,15,-5.731892269496374,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
428,False,"{'a': 0.002, 'e': 0.4257086869858502}",25,17,-16.626544567245986,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
429,False,"{'a': 0.002, 'e': 0.42485812046192456}",30,0,-22.239250095380918,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
430,False,"{'a': 0.002, 'e': 0.4240092533710473}",20,1,-107.18067817814307,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 2}",1
431,False,"{'a': 0.002, 'e': 0.4231620823177488}",30,4,-16.05783479204711,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 0}",1
432,False,"{'a': 0.002, 'e': 0.42231660391334386}",25,20,7.68470903839403,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.002, 'e': 0.42147281477591764}",20,5,3.23926952684302,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
434,False,"{'a': 0.002, 'e': 0.42063071153031245}",25,0,4.334449107913402,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
435,False,"{'a': 0.002, 'e': 0.41979029080811425}",20,0,-65.59604096086177,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
436,False,"{'a': 0.002, 'e': 0.418951549247639}",25,12,-66.29083024397539,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
437,False,"{'a': 0.002, 'e': 0.41811448349391933}",30,11,27.31628174026073,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.002, 'e': 0.41727909019869114}",20,1,4.541414139156881,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
439,False,"{'a': 0.002, 'e': 0.41644536602038007}",25,13,8.318019036312293,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
440,False,"{'a': 0.002, 'e': 0.4156133076240884}",25,13,2.07331416881729,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
441,False,"{'a': 0.002, 'e': 0.4147829116815814}",20,0,-54.707874296518234,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
442,False,"{'a': 0.002, 'e': 0.4139541748712741}",20,13,14.821850940030881,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.002, 'e': 0.4131270938782182}",20,14,-16.5231596145737,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
444,False,"{'a': 0.002, 'e': 0.41230166539408875}",25,3,-29.900241776018063,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
445,False,"{'a': 0.002, 'e': 0.41147788611717057}",20,13,15.336650338904358,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
